sales_id,name,year,km_driven,selling_price,fuel,transmission,mileage,engine,max_power,torque,seats
66,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,540000,Diesel,Manual,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5
67,Honda City i DTEC VX,2015,135000,630000,Diesel,Manual,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
68,Maruti Wagon R AMT VXI,2018,30000,448000,Petrol,Automatic,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
69,Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,500000,Diesel,Manual,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5
70,Maruti Vitara Brezza VDi,2016,70000,745000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
71,Maruti Vitara Brezza ZDi Plus AMT,2019,9850,1025000,Diesel,Automatic,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
72,Hyundai i10 Magna,2011,60000,235000,Petrol,Manual,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
73,Maruti Swift VDI Deca,2016,70000,630000,Diesel,Manual,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
74,Toyota Fortuner 4x4 MT,2015,78000,1700000,Diesel,Manual,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
75,Maruti Swift Star VDI,2013,120000,450000,Diesel,Manual,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
76,Maruti Ertiga ZXI,2012,120000,450000,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7
77,Volkswagen Vento Diesel Highline,2013,170000,450000,Diesel,Manual,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
78,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,1200000,Diesel,Manual,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8
79,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,610000,Diesel,Manual,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5
80,BMW X1 sDrive20i xLine,2016,30000,2500000,Petrol,Automatic,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5
81,Maruti Celerio ZXI MT BSIV,2017,10000,484999,Petrol,Manual,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
82,Datsun GO A Petrol,2016,49000,275000,Petrol,Manual,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5
83,Maruti Alto 800 VXI BSIV,2016,32000,315000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
84,Maruti Alto 800 LXI BSIV,2016,38000,275000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
85,Hyundai i10 Era 1.1,2012,28000,290000,Petrol,Manual,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
86,Maruti Omni 8 Seater BSIV,2017,32000,280000,Petrol,Manual,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
87,Maruti Wagon R LXI LPG BSIV,2010,44000,225000,LPG,Manual,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5
88,Volkswagen Polo 1.2 MPI Comfortline,2015,42000,455000,Petrol,Manual,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5
89,Hyundai i10 Magna 1.1L,2015,45000,351000,Petrol,Manual,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
90,Volkswagen Vento Petrol Highline,2012,12000,535000,Petrol,Manual,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
91,Maruti Zen Estilo LXI BSIII,2009,55500,175000,Petrol,Manual,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
92,Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,525000,Petrol,Manual,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
93,Maruti Swift Dzire LDI,2016,150000,600000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
94,Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,565000,Petrol,Automatic,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
95,Maruti Alto LX BSIII,2008,68000,120000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
96,Hyundai i20 1.4 Asta Option,2017,110000,725000,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
97,Maruti Wagon R VXI,2009,77000,185000,Petrol,Manual,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
98,Tata Manza Aura (ABS) Quadrajet,2010,100000,200000,Diesel,Manual,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5
99,Maruti Swift VXI,2019,10000,615000,Petrol,Manual,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
100,Maruti Eeco 7 Seater Standard BSIV,2016,100000,270000,Petrol,Manual,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7
101,Maruti Baleno Zeta 1.2,2018,35000,610000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
102,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,625000,Diesel,Automatic,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8
103,Ford Freestyle Titanium Petrol BSIV,2020,5000,400000,Petrol,Manual,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5
104,Hyundai Verna VTVT 1.6 SX,2017,37800,866000,Petrol,Manual,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
105,Volkswagen Passat 1.8 TSI MT,2010,114000,700000,Petrol,Manual,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5
106,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,300000,Petrol,Manual,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5
107,Mahindra XUV500 W11 Option AWD,2019,32000,1700000,Diesel,Manual,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7
108,Tata Indigo CS LS (TDI) BS-III,2016,100000,375000,Diesel,Manual,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5
109,Hyundai Verna 1.6 SX,2013,150000,522000,Diesel,Manual,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5
110,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,451999,Diesel,Manual,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
111,Toyota Corolla Altis G,2009,100000,300000,Petrol,Manual,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5
112,Maruti Celerio VXI,2020,13000,475000,Petrol,Manual,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
113,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,780000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
114,Maruti Swift Dzire VXI,2017,40000,595000,Petrol,Manual,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
115,Maruti Wagon R VXI BS IV,2017,35000,440000,Petrol,Manual,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
116,Nissan Terrano XL 85 PS,2014,70000,400000,Diesel,Manual,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
117,Hyundai Creta 1.6 CRDi SX,2016,50000,1140000,Diesel,Manual,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
118,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,76139,850000,Diesel,Manual,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5
119,Maruti Swift Dzire VDi,2012,175000,370000,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
120,Renault KWID 1.0,2018,25000,350000,Petrol,Manual,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5
121,Maruti Celerio VXI,2015,40000,360000,Petrol,Manual,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
122,Maruti Alto LXi,2008,65000,105000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
123,Maruti Ertiga VDI,2013,90000,625000,Diesel,Manual,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
124,Hyundai Santro Xing GLS,2009,80000,135000,Petrol,Manual,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5
125,Maruti Ertiga VDI,2015,110000,700000,Diesel,Manual,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
126,Honda Amaze S i-VTEC,2019,1303,690000,Petrol,Manual,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5
127,Audi Q5 35TDI Premium Plus,2018,31800,3975000,Diesel,Automatic,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5
128,Lexus ES 300h,2019,20000,5150000,Petrol,Automatic,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5
129,Jaguar XF 2.0 Diesel Portfolio,2017,45000,3200000,Diesel,Automatic,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
130,Jeep Wrangler 2016-2019 3.6 4X4,2017,17000,4100000,Petrol,Automatic,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5
131,Land Rover Discovery Sport TD4 SE,2019,21000,4500000,Diesel,Automatic,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7
132,Mercedes-Benz S-Class S 350 CDI,2017,37000,6000000,Diesel,Automatic,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5
133,BMW 5 Series 520d Sport Line,2018,29500,3790000,Diesel,Automatic,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5
134,BMW X4 M Sport X xDrive20d,2019,7500,5800000,Diesel,Automatic,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
135,Skoda Superb LK 1.8 TSI AT,2018,50000,1864999,Petrol,Automatic,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5
136,Mercedes-Benz E-Class E250 Edition E,2016,35000,2700000,Diesel,Automatic,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5
137,MG Hector Sharp AT BSIV,2019,19000,1750000,Petrol,Automatic,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5
138,Honda City i-VTEC CVT VX,2017,41000,795000,Petrol,Automatic,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5
139,Toyota Corolla Altis 1.8 G CVT,2013,39000,625000,Petrol,Automatic,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
140,Volvo XC40 D4 R-Design,2018,22000,3400000,Diesel,Automatic,18.0 kmpl,1969 CC,190 bhp,400Nm,5
141,Audi Q7 35 TDI Quattro Premium,2015,53000,2650000,Diesel,Automatic,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7
142,Maruti Ciaz ZDi,2015,40000,535000,Diesel,Manual,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
143,Mercedes-Benz S-Class S 350 CDI,2017,47000,5850000,Diesel,Automatic,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5
144,BMW 5 Series 523i,2010,72200,975000,Petrol,Automatic,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5
145,Hyundai Elantra S,2016,49900,805000,Petrol,Manual,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
146,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,2625000,Diesel,Automatic,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
147,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11000,811000,Petrol,Manual,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5
148,Volkswagen Vento Petrol Highline,2011,49000,375000,Petrol,Manual,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
149,Hyundai Elantra SX,2012,95000,550000,Petrol,Manual,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5
150,Skoda Rapid 1.6 MPI AT Elegance,2016,11000,645000,Petrol,Automatic,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5
151,Mercedes-Benz CLA 200 CGI Sport,2018,18000,2550000,Petrol,Automatic,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5
152,Maruti Ertiga ZXI,2014,46100,599000,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7
153,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,16000,2700000,Petrol,Automatic,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5
154,Honda City V AT,2017,18000,875000,Petrol,Automatic,15.6 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5
155,Toyota Glanza V CVT,2019,9654,894999,Petrol,Automatic,19.56 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
156,Maruti Alto K10 VXI,2011,11000,175000,Petrol,Manual,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
157,Maruti Swift VXI,2012,24300,340000,Petrol,Manual,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
158,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,42163,1525000,Diesel,Automatic,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
159,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,8000,1025000,Diesel,Automatic,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5
160,BMW 3 Series 320d Luxury Line,2016,30000,2150000,Diesel,Automatic,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
161,Toyota Camry 2.5 Hybrid,2016,41000,1900000,Petrol,Automatic,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5
162,BMW 5 Series 520d Luxury Line,2016,12000,2900000,Diesel,Automatic,18.12 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
163,Toyota Camry W4 (AT),2009,71000,450000,Petrol,Automatic,12.1 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm,5
164,Maruti Ertiga BSIV ZXI Plus,2016,20000,850000,Petrol,Manual,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7
165,Volvo XC90 T8 Excellence BSIV,2017,30000,10000000,Petrol,Automatic,42.0 kmpl,1969 CC,400 bhp,640Nm@ 1740rpm,4
166,Volkswagen Vento Diesel Highline,2011,100000,300000,Diesel,Manual,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
167,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,9500,575000,Petrol,Manual,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
168,Ford Figo Diesel LXI,2011,120000,160000,Diesel,Manual,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
169,Maruti Swift VXI Optional,2015,36600,515000,Petrol,Manual,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
170,Maruti Wagon R AMT VXI,2015,50000,390000,Petrol,Automatic,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
171,Hyundai i20 Magna 1.2,2016,14000,550000,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
172,Maruti 800 Std,1999,40000,40000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
173,Maruti Ritz VDi,2010,120000,220000,Diesel,Manual,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5
174,Hyundai Grand i10 Magna,2015,70000,425000,Petrol,Manual,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
175,Volkswagen Ameo 1.0 MPI Trendline,2019,13000,480000,Petrol,Manual,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5
176,Hyundai Grand i10 Sportz,2014,60000,400000,Petrol,Manual,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
177,Maruti Swift Dzire VXI,2014,35000,487000,Petrol,Manual,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5
178,Hyundai Xcent 1.2 Kappa S,2016,44000,386000,Petrol,Manual,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
179,Honda City 1.5 EXI,2005,120000,100000,Petrol,Manual,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5
180,Toyota Corolla Altis Diesel D4DG,2010,60000,300000,Diesel,Manual,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm,5
181,Daewoo Matiz SD,2000,60000,100000,Petrol,Manual,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5
